iter	RMSE
0	1.746175238
1	1.682629645
2	1.636793012
3	1.568488074
4	1.51471427
5	1.461401932
6	1.416236927
7	1.370486058
8	1.333197482
9	1.293327796
10	1.252753058
11	1.206998238
12	1.170805249
13	1.130839972
14	1.099254591
15	1.070791411
16	1.038526401
17	1.009522673
18	0.9855895703
19	0.9568415528
20	0.9266080802
21	0.9061385403
22	0.8774886189
23	0.8534417119
24	0.8312572449
25	0.8085119543
26	0.787392646
27	0.7698324511
28	0.749535187
29	0.7389440626
30	0.7241937503
31	0.7082770654
32	0.6931740238
33	0.6820084445
34	0.6680657879
35	0.6529945738
36	0.6376315934
37	0.6234546328
38	0.6085398365
39	0.5936565273
40	0.5821327555
41	0.5679757757
42	0.5574353358
43	0.5497110762
44	0.5400905655
45	0.5276393593
46	0.5190287123
47	0.5109993145
48	0.5022691209
49	0.4925110215
50	0.4841143289
51	0.4766698306
52	0.4689409155
53	0.4599794768
54	0.4521656451
55	0.4439972932
56	0.4385497952
57	0.432613986
58	0.4239377552
59	0.4168508855
60	0.4119432497
61	0.4043861915
62	0.3971110313
63	0.3906029274
64	0.383877628
65	0.37845502
66	0.3720335863
67	0.3645095115
68	0.3584327387
69	0.3524689163
70	0.3486137935
71	0.3441468313
72	0.3368568019
73	0.33341082
74	0.3261746584
75	0.3219606091
76	0.318031465
77	0.3144510511
78	0.3116690309
79	0.3035215152
80	0.2985751931
81	0.2939767259
82	0.2905571488
83	0.2868933468
84	0.2834457244
85	0.2798077167
86	0.277604099
87	0.2719553968
88	0.2676541822
89	0.265057878
90	0.2618772704
91	0.2574075685
92	0.254847635
93	0.2517420961
94	0.2472007979
95	0.2449192182
96	0.2427334201
97	0.2387675112
98	0.2351508641
99	0.2317133848
