iter	Passed	Remaining
0	56	5639
1	57	2800
2	57	1855
3	57	1383
4	57	1099
5	58	909
6	58	774
7	58	672
8	58	594
9	59	532
10	59	479
11	59	436
12	59	399
13	59	368
14	60	340
15	60	317
16	60	295
17	60	276
18	60	260
19	61	244
20	61	231
21	61	219
22	62	207
23	62	197
24	62	187
25	62	178
26	62	170
27	63	162
28	63	154
29	63	147
30	63	141
31	63	135
32	63	129
33	64	124
34	64	119
35	64	114
36	64	110
37	65	106
38	65	102
39	65	98
40	65	94
41	65	90
42	66	87
43	66	84
44	66	81
45	66	78
46	66	75
47	67	72
48	67	70
49	67	67
50	67	65
51	67	62
52	68	60
53	68	58
54	68	56
55	68	54
56	68	52
57	69	50
58	69	48
59	69	46
60	69	44
61	69	42
62	70	41
63	70	39
64	70	37
65	70	36
66	70	34
67	71	33
68	71	32
69	71	30
70	71	29
71	71	27
72	71	26
73	72	25
74	72	24
75	72	22
76	72	21
77	72	20
78	73	19
79	73	18
80	73	17
81	73	16
82	73	15
83	73	14
84	74	13
85	74	12
86	74	11
87	74	10
88	74	9
89	74	8
90	75	7
91	75	6
92	75	5
93	75	4
94	75	3
95	76	3
96	76	2
97	76	1
98	76	0
99	76	0
